"fecha","dia","mes","anio","tipo_cambio","activo_bcra","reservas_pesos","divisas_pesos","convenio_multilateral","titulos_publicos","adelantos_transitorios","credito_sist_financiero","pasivo_bcra","base_monetaria","circulacion_monetaria","oblig_organismos_internales","titulos_emitidos_bcra","letras_intransferibles","reservas_dolares","ratio_reservas_base"
1998-01-07,7,1,1998,1,35682.559,18724.012,1134.148,NA,1713.561,NA,1471.325,32030.334,15880.086,15880.086,6840.912,NA,NA,18724.012,1.17908756917311
1998-01-15,15,1,1998,1,35885.027,18347.343,441.916,NA,1783.163,NA,1470.784,32180.925,15279.96,15279.96,6842.111,NA,NA,18347.343,1.20074548624473
1998-01-23,23,1,1998,1,34634.718,17517.167,520.11,NA,1784.254,NA,1470.971,30927.445,14759.457,14759.457,6877.827,NA,NA,17517.167,1.18684359458481
1998-01-31,31,1,1998,1,33699.566,16911.678,495.329,NA,1788.924,NA,1475.693,29971.788,14714.694,14714.694,6833.229,NA,NA,16911.678,1.14930544936918
1998-02-07,7,2,1998,1,34475.902,17880.916,616.931,NA,1811.698,NA,1470.523,30673.61,15299.584,15299.584,6892.771,NA,NA,17880.916,1.16871909719898
1998-02-15,15,2,1998,1,34789.695,17918.059,591.53,NA,1804.225,NA,1469.993,30932.699,14967.751,14967.751,6851.518,NA,NA,17918.059,1.1971109754565
1998-02-23,23,2,1998,1,34496.126,17102.62,601.26,NA,1785.756,NA,1475.791,30625.489,14523.842,14523.842,6793.034,NA,NA,17102.62,1.17755480953318
1998-02-28,28,2,1998,1,35428.167,17993.549,556.498,NA,1789.643,NA,1480.405,31564.205,14574.78,14574.78,6822.807,NA,NA,17993.549,1.23456745144695
1998-03-07,7,3,1998,1,34893.375,18338.971,551.635,NA,1799.181,NA,1388.907,31149.993,15211.357,15211.357,6786.135,NA,NA,18338.971,1.20561045276894
1998-03-15,15,3,1998,1,34791.676,18016.869,623.076,NA,1732.643,NA,1388.606,31125.67,14862.691,14862.691,6792.211,NA,NA,18016.869,1.21222119197661
1998-03-23,23,3,1998,1,34619.855,17684.534,570.787,NA,1708.077,NA,1382.394,30900.327,14477.588,14477.588,6769.707,NA,NA,17684.534,1.22151106938531
1998-03-31,31,3,1998,1,34230.353,17396.181,696.929,NA,1760.096,NA,1386.58,30558.1,14484.626,14484.626,6668.179,NA,NA,17396.181,1.20101002262675
1998-04-07,7,4,1998,1,34323.207,18195.944,741.6,NA,1846.713,NA,1381.733,30621.535,15458.74,15458.74,6658.928,NA,NA,18195.944,1.17706514243722
1998-04-15,15,4,1998,1,34331.704,17884.218,622.394,NA,1852.752,NA,1385.351,30621.508,15000.068,15000.068,6734.556,NA,NA,17884.218,1.1922757950164
1998-04-23,23,4,1998,1,33864.44,16919.186,758.273,NA,1848.846,NA,1394.571,30111.778,14509.572,14509.572,6736.483,NA,NA,16919.186,1.1660706463292
1998-04-30,30,4,1998,1,34211.613,17157.089,1091.574,NA,1840.751,NA,1399.265,30477.126,14697.565,14697.565,6718.812,NA,NA,17157.089,1.16734227744528
1998-05-07,7,5,1998,1,34744.287,17892.229,1545.187,NA,1846.566,NA,1402.51,30975.414,15217.537,15217.537,6715.089,NA,NA,17892.229,1.17576379147296
1998-05-15,15,5,1998,1,35168.767,17828.313,679.057,NA,1831.619,NA,1399.62,31393.067,14850.088,14850.088,6674.977,NA,NA,17828.313,1.20055268359352
1998-05-23,23,5,1998,1,35344.219,17241.093,716.706,NA,1820.325,NA,1398.607,31551.863,14599.672,14599.672,6678.669,NA,NA,17241.093,1.18092331115384
1998-05-31,31,5,1998,1,35373.436,17552.159,593.503,NA,1713.456,NA,1403.138,31995.199,14721.485,14721.485,6636.187,NA,NA,17552.159,1.19228182482949
1998-06-07,7,6,1998,1,35559.79,18202.896,513.182,NA,1734.196,NA,1398.333,32112.583,15422.995,15422.995,6651.719,NA,NA,18202.896,1.18024391501132
1998-06-15,15,6,1998,1,35310.063,17972.185,537.224,NA,1719.156,NA,1393.007,31875.426,15196.846,15196.846,6573.645,NA,NA,17972.185,1.18262598699757
1998-06-23,23,6,1998,1,34987.643,17032.978,661.749,NA,1678.42,NA,1392.916,31511.511,14664.795,14664.795,6645.916,NA,NA,17032.978,1.16148763075106
1998-06-30,30,6,1998,1,35307.105,17734.082,462.001,NA,1638.912,NA,1397.872,31807.227,15013.18,15013.18,6597.969,NA,NA,17734.082,1.18123422219676
1998-07-07,7,7,1998,1,36280.497,19227.352,454.398,NA,1647.26,NA,1393.892,32749.083,16086.931,16086.931,6585.19,NA,NA,19227.352,1.19521566916648
1998-07-15,15,7,1998,1,36308.783,19381.312,569.074,NA,1719.16,NA,1393.503,32701.882,15923.41,15923.41,6489.551,NA,NA,19381.312,1.21715838504441
1998-07-23,23,7,1998,1,36476.852,19682.564,594.666,NA,1658.481,NA,1393.402,32836.176,15657.499,15657.499,6449.8,NA,NA,19682.564,1.25706947195079
1998-07-31,31,7,1998,1,36853.819,20142.21,849.17,NA,1661.817,NA,1398.488,33212.366,15618.517,15618.517,6444.283,NA,NA,20142.21,1.28963652567014
1998-08-07,7,8,1998,1,37112.706,20830.573,528.645,NA,1669.676,NA,1393.509,33468.19,16130.681,16130.681,6441.289,NA,NA,20830.573,1.29136352023823
1998-08-15,15,8,1998,1,35746.256,18695.066,1244.409,NA,1670.51,NA,1393.005,32171.389,15687.186,15687.186,6419.707,NA,NA,18695.066,1.19174120839773
1998-08-23,23,8,1998,1,35880.206,18126.836,675.037,NA,1663.016,NA,1382.553,32376.931,15227.969,15227.969,6394.85,NA,NA,18126.836,1.19036465072919
1998-08-31,31,8,1998,1,36581.985,17713.931,116.141,NA,1602.578,NA,1387.653,33315.314,15184.028,15184.028,6413.674,NA,NA,17713.931,1.16661606524962
1998-09-07,7,9,1998,1,37093.466,18128.766,687.93,NA,1636.186,NA,1419.936,33679.955,15602.972,15602.972,6544.186,NA,NA,18128.766,1.16187903176395
1998-09-15,15,9,1998,1,36548.113,17308.008,634.112,NA,1709.933,NA,1475.684,33147.262,14989.153,14989.153,6613.333,NA,NA,17308.008,1.15470220365354
1998-09-23,23,9,1998,1,36917.567,16844.016,908.592,NA,1697.076,NA,1528.607,33256.247,14368.607,14368.607,6567.77,NA,NA,16844.016,1.17227898292437
1998-09-30,30,9,1998,1,36669.729,16817.46,667.365,NA,1720.279,NA,1578.359,32914.497,14373.817,14373.817,6578.91,NA,NA,16817.46,1.17000654732142
1998-10-07,7,10,1998,1,36897.919,17461.417,1080.77,NA,1733.625,NA,1661.833,33076.939,15006.135,15006.135,6685.364,NA,NA,17461.417,1.16361854668107
1998-10-15,15,10,1998,1,36999.91,17251.658,934.706,NA,1648.11,NA,1681.348,33091.121,14734.14,14734.14,6655.208,NA,NA,17251.658,1.17086290750597
